"","Identificador","Region","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-09","2020-05-10","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-16","2020-05-17","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22","2020-05-23","2020-05-24","2020-05-25","2020-05-26","2020-05-27","2020-05-28","2020-05-29","2020-05-30","2020-05-31","2020-06-01","2020-06-02","2020-06-03","2020-06-04","2020-06-05","2020-06-06","2020-06-07","2020-06-08","2020-06-09","2020-06-10","2020-06-11","2020-06-12","2020-06-13","2020-06-14","2020-06-15","2020-06-16","2020-06-17","2020-06-18","2020-06-19","2020-06-20","2020-06-21","2020-06-22","2020-06-23","2020-06-24","2020-06-25","2020-06-26","2020-06-27","2020-06-28","2020-06-29","2020-06-30","2020-07-01","2020-07-02","2020-07-03","2020-07-04","2020-07-05","2020-07-06","2020-07-07","2020-07-08","2020-07-09","2020-07-10","2020-07-11","2020-07-12","2020-07-13"
"1","Totales","Antofagasta",0,0,0,0,0,2,2,2,2,2,2,6,10,11,11,13,19,20,21,25,27,35,35,39,47,54,55,60,68,69,77,92,110,117,138,149,155,176,192,211,226,249,263,291,326,340,366,391,443,457,481,514,546,589,679,740,760,811,855,895,923,947,978,1014,1109,1216,1277,1331,1429,1505,1589,1648,1731,1778,1841,1897,1947,2015,2063,2137,2248,2318,2429,2510,2585,2649,2716,2862,2924,3033,3154,3245,3402,3559,3753,3885,4038,4286,4556,4643,5241,5528,5828,6215,6461,6708,6991,7227,7515,7742,8027,8308,8625,8829,9083,9285,9570,9823,10119,10355,10594,10825,11077,11267,11580,11799,12034
"2","Cada 7 días","Antofagasta",0,0,0,0,0,2,2,2,2,2,2,6,8,9,9,11,17,18,15,15,16,24,22,20,27,33,30,33,33,34,38,45,56,62,78,81,86,99,100,101,109,111,114,136,150,148,155,165,194,194,190,188,206,223,288,297,303,330,341,349,334,268,238,254,298,361,382,408,482,527,575,539,515,501,510,468,442,426,415,406,470,477,532,563,570,586,579,614,606,604,644,660,753,843,891,961,1005,1132,1311,1241,1210,1303,1471,1705,1703,1680,1876,1986,1987,1914,1812,1847,1917,1838,1856,1770,1828,1796,1811,1730,1765,1742,1792,1697,1757,1680,1679
"3","Totales","Araucanía",0,0,0,0,0,0,0,1,1,4,7,9,15,27,40,59,74,111,143,177,205,247,302,343,389,432,477,509,562,612,669,689,712,739,775,795,816,826,882,907,944,972,1045,1092,1113,1142,1184,1203,1216,1236,1251,1273,1293,1295,1314,1328,1331,1352,1362,1385,1403,1418,1454,1466,1482,1495,1536,1564,1587,1606,1639,1666,1680,1715,1737,1774,1808,1857,1883,1916,1954,1989,2060,2071,2111,2141,2173,2182,2288,2321,2377,2410,2445,2488,2535,2579,2645,2675,2728,2775,2815,2864,2897,2920,2969,3009,3027,3037,3064,3105,3128,3172,3212,3231,3246,3267,3324,3369,3399,3453,3472,3482,3505,3538,3557,3595,3604
"4","Cada 7 días","Araucanía",0,0,0,0,0,0,0,1,1,4,7,9,15,27,39,58,70,104,134,162,178,207,243,269,278,289,300,304,315,310,326,300,280,262,266,233,204,157,193,195,205,197,250,276,287,260,277,259,244,191,159,160,151,111,111,112,95,101,89,92,108,104,126,135,130,133,151,161,169,152,173,184,185,179,173,187,202,218,217,236,239,252,286,263,254,258,257,228,299,261,306,299,304,315,353,291,324,298,318,330,306,308,297,254,273,260,231,222,200,208,208,203,203,204,209,203,219,241,227,241,241,236,238,214,188,196,151
"5","Totales","Arica y Parinacota",0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,3,4,6,6,6,7,12,12,28,41,53,63,75,87,107,115,115,120,124,129,134,142,145,161,170,180,210,239,245,252,265,268,272,279,297,307,308,308,315,318,325,327,337,340,351,351,359,363,368,377,378,398,422,424,453,471,482,498,513,522,541,562,582,588,619,636,654,701,736,782,819,850,874,914,930,967,1011,1062,1109,1139,1156,1218,1239,1295,1325,1371,1420,1443,1473,1511,1549,1611,1649,1685,1713,1776,1832,1889,1949,2006,2087,2119,2179,2273,2322,2395,2467,2562
"6","Cada 7 días","Arica y Parinacota",0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,4,4,4,4,9,9,24,35,47,57,68,75,95,87,74,67,61,54,47,35,30,46,50,56,81,105,103,107,104,98,92,69,58,62,56,43,47,46,46,30,30,32,43,36,41,38,41,40,38,47,71,65,90,103,105,120,115,100,117,109,111,106,121,123,132,160,174,200,231,231,238,260,229,231,229,243,259,265,242,282,266,278,257,256,275,281,255,272,253,286,278,265,270,303,321,341,338,357,402,406,403,441,433,446,461,475
"7","Totales","Atacama",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,5,5,5,5,6,8,10,13,13,13,13,13,13,13,13,13,13,13,13,13,18,21,24,29,35,35,42,43,43,59,67,70,78,80,87,88,117,124,133,134,139,140,143,146,149,157,158,163,168,175,182,182,185,188,197,202,207,215,218,232,236,242,258,269,281,306,339,348,365,389,413,436,448,484,502,561,586,623,650,683,718,747,785,837,887,925,956,1006,1043,1114,1135,1166,1208,1253,1301,1323,1357,1429,1467,1522,1576,1633
"8","Cada 7 días","Atacama",0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,2,2,4,4,3,3,4,5,7,8,8,8,8,7,5,3,0,0,0,0,0,0,5,8,11,16,22,22,29,25,22,35,38,35,43,38,44,45,58,57,63,56,59,53,55,29,25,24,24,24,28,32,36,33,28,30,34,34,32,33,36,47,48,45,56,62,66,88,107,112,123,131,144,155,142,145,154,186,187,200,204,225,224,235,224,251,264,275,273,288,296,329,298,279,283,297,295,280,243,294,301,314,323,332
"9","Totales","Aysén",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,12,12,14,16,16,17,17,18,18,19,19,19,20,21,21,21,22,22,24,24,26,26,26,26,27,28,28,28,28,28,29,30,35,41,42,42,42,46,46,46,48,48,48,49,49,50,51,56,58
"10","Cada 7 días","Aysén",0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,2,3,4,4,5,5,5,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,4,4,6,8,8,9,7,6,6,5,3,3,3,4,3,3,3,3,5,4,5,5,5,4,5,4,4,2,2,2,3,3,7,13,14,14,14,17,16,11,7,6,6,7,3,4,5,8,10
