"","Region","Fecha","Total","Total.1","Casos_Nuevos","Casos_Acumulados","Casos_Nuevos_Semana"
"1","Antofagasta",2020-03-27,1,21,1,21,15
"2","Antofagasta",2020-03-28,4,25,4,25,15
"3","Antofagasta",2020-03-29,2,27,2,27,16
"4","Antofagasta",2020-03-30,8,35,8,35,24
"5","Antofagasta",2020-03-31,0,35,0,35,22
"6","Antofagasta",2020-04-01,4,39,4,39,20
"7","Antofagasta",2020-04-02,8,47,8,47,27
"8","Antofagasta",2020-04-03,7,54,7,54,33
"9","Antofagasta",2020-04-04,1,55,1,55,30
"10","Antofagasta",2020-04-05,5,60,5,60,33
"11","Antofagasta",2020-04-06,8,68,8,68,33
"12","Antofagasta",2020-04-07,1,69,1,69,34
"13","Antofagasta",2020-04-08,8,77,8,77,38
"14","Antofagasta",2020-04-09,15,92,15,92,45
"15","Antofagasta",2020-04-10,18,110,18,110,56
"16","Antofagasta",2020-04-11,7,117,7,117,62
"17","Antofagasta",2020-04-12,21,138,21,138,78
"18","Antofagasta",2020-04-13,11,149,11,149,81
"19","Antofagasta",2020-04-14,6,155,6,155,86
"20","Antofagasta",2020-04-15,21,176,21,176,99
"21","Antofagasta",2020-04-16,16,192,16,192,100
"22","Antofagasta",2020-04-17,19,211,19,211,101
"23","Antofagasta",2020-04-18,15,226,15,226,109
"24","Antofagasta",2020-04-19,23,249,23,249,111
"25","Antofagasta",2020-04-20,14,263,14,263,114
"26","Antofagasta",2020-04-21,28,291,28,291,136
"27","Antofagasta",2020-04-22,35,326,35,326,150
"28","Antofagasta",2020-04-23,14,340,14,340,148
"29","Antofagasta",2020-04-24,26,366,26,366,155
"30","Antofagasta",2020-04-25,25,391,25,391,165
"31","Antofagasta",2020-04-26,52,443,52,443,194
"32","Antofagasta",2020-04-27,14,457,14,457,194
"33","Antofagasta",2020-04-28,24,481,24,481,190
"34","Antofagasta",2020-04-29,33,514,33,514,188
"35","Antofagasta",2020-04-30,32,546,32,546,206
"36","Antofagasta",2020-05-01,43,589,43,589,223
"37","Antofagasta",2020-05-02,90,679,90,679,288
"38","Antofagasta",2020-05-03,61,740,61,740,297
"39","Antofagasta",2020-05-04,20,760,20,760,303
"40","Antofagasta",2020-05-05,51,811,51,811,330
"41","Antofagasta",2020-05-06,44,855,44,855,341
"42","Antofagasta",2020-05-07,40,895,40,895,349
"43","Antofagasta",2020-05-08,28,923,28,923,334
"44","Antofagasta",2020-05-09,24,947,24,947,268
"45","Antofagasta",2020-05-10,31,978,31,978,238
"46","Antofagasta",2020-05-11,36,1014,36,1014,254
"47","Antofagasta",2020-05-12,95,1109,95,1109,298
"48","Antofagasta",2020-05-13,107,1216,107,1216,361
"49","Antofagasta",2020-05-14,61,1277,61,1277,382
"50","Antofagasta",2020-05-15,54,1331,54,1331,408
"51","Antofagasta",2020-05-16,98,1429,98,1429,482
"52","Antofagasta",2020-05-17,76,1505,76,1505,527
"53","Antofagasta",2020-05-18,84,1589,84,1589,575
