"","location","total_vaccinations","people_fully_vaccinated","total_boosters_per_hundred"
"1","Afganistán",1809517,NA,NA
"2","Albania",1386713,594050,NA
"3","Argelia",4146091,724812,NA
"4","Andorra",91660,40616,NA
"5","Angola",1841568,731010,NA
"6","Anguila",18458,8965,NA
"7","Argentina",39951618,12536759,NA
"8","Armenia",239342,85454,NA
"9","Aruba",146793,68820,NA
"10","Australia",17747787,6460063,NA
"11","Austria",10357579,5142366,NA
"12","Azerbaiyán",6335305,2504655,NA
"13","Bahamas",129017,55291,NA
"14","Baréin",2466040,1081480,NA
"15","Bangladés",24251390,6903247,NA
"16","Barbados",195008,91186,NA
"17","Bielorrusia",2684863,1188636,NA
"18","Bélgica",15944012,7927370,NA
"19","Belice",217385,64901,NA
"20","Benín",117984,NA,NA
"21","Bután",1035510,474547,NA
"22","Bolivia",5480769,2401767,NA
"23","Botsuana",434644,181922,NA
"24","Brasil",181908368,56624456,NA
"25","Islas Vírgenes Británicas",29431,12605,NA
"26","Brunéi",267132,73621,NA
"27","Bulgaria",2256350,1136584,NA
"28","Burkina Faso",71510,17696,NA
"29","Camboya",17953133,8130459,NA
"30","Camerún",418130,74476,NA
"31","Canadá",52733361,25014925,NA
"32","Cabo Verde",262164,49398,NA
"33","República Centroafricana",95862,13779,NA
"34","Chad",45390,11865,NA
"35","Chile",28198004,13328516,NA
"36","China",1988433000,NA,NA
"37","Colombia",33696899,14323100,NA
"38","Comoras",239158,64126,NA
"39","Islas Cook",20509,9578,NA
"40","Costa Rica",4033022,1003508,NA
"41","Costa de Marfil",1287881,NA,NA
"42","Croacia",3227814,1589077,NA
"43","Cuba",12699522,3138256,NA
"44","Chipre",1069123,504219,NA
"45","Chequia",11338994,5624843,NA
"46","Dinamarca",8427690,4090755,NA
"47","Yibuti",58245,22849,NA
"48","Dominica",41435,19887,NA
"49","República Dominicana",10932809,4576556,NA
"50","Ecuador",17067706,7096816,NA
"51","Egipto",8004586,2894590,NA
"52","El Salvador",5896289,2485544,NA
"53","Guinea Ecuatorial",336579,143787,NA
"54","Estonia",1243948,531429,NA
"55","Esuatini",239519,NA,NA
"56","Etiopía",2349283,NA,NA
"57","Islas Feroe",70399,33888,NA
"58","Islas Malvinas",4407,1775,NA
"59","Fiyi",778159,234905,NA
"60","Finlandia",6589588,2624699,NA
"61","Francia",84986822,38288363,NA
"62","Polinesia Francesa",209386,89973,NA
"63","Gabón",130798,53037,NA
"64","Gambia",321385,142904,NA
"65","Georgia",1065848,331736,NA
"66","Alemania",100194064,49408641,NA
"67","Ghana",1271393,405971,NA
"68","Grecia",11247943,5668041,NA
"69","Groenlandia",70741,31316,NA
"70","Granada",40075,17768,NA
"71","Guatemala",4027957,932902,NA
"72","Guinea",1057085,356180,NA
"73","Guinea-Bisáu",31090,2993,NA
"74","Guyana",455209,153840,NA
"75","Haití",27412,2446,NA
"76","Honduras",3048368,1123360,NA
"77","Hong Kong",7227187,3219054,NA
"78","Islandia",522977,262924,NA
"79","India",597923238,134581894,NA
"80","Indonesia",92105838,33094505,NA
"81","Irán",19894523,4381064,NA
"82","Irak",2102550,NA,NA
