"","País","Fecha","Tasa"
"1","Afganistán",2021-04-07,0.31
"2","Albania",2021-04-10,8.92
"3","Argelia",2021-02-19,0.17
"4","Andorra",2021-04-11,22.12
"5","Angola",2021-04-11,0.75
"6","Anguila",2021-03-19,35.65
"7","Argentina",2021-04-11,11.76
"8","Armenia",2021-03-31,0.02
"9","Australia",2021-04-11,4.57
"10","Austria",2021-04-11,23.51
"11","Azerbaiyán",2021-04-10,11.38
"12","Bahamas",2021-04-07,2.54
"13","Baréin",2021-04-11,56.21
"14","Bangladés",2021-04-10,3.53
"15","Barbados",2021-04-09,22.92
"16","Bielorrusia",2021-04-09,NA
"17","Bélgica",2021-04-11,21.6
"18","Belice",2021-04-09,6.88
"19","Bután",2021-04-11,61.47
"20","Bolivia",2021-04-09,3.63
"21","Botsuana",2021-04-02,0.55
"22","Brasil",2021-04-11,12.58
"23","Brunéi",2021-04-06,0.53
"24","Bulgaria",2021-04-11,8.24
"25","Camboya",2021-04-11,7.7
"26","Canadá",2021-04-11,21.19
"27","Cabo Verde",2021-03-24,0.39
"28","Chile",2021-04-10,62.94
"29","China",2021-04-11,11.63
"30","Colombia",2021-04-10,5.98
"31","Costa Rica",2021-04-06,9.91
"32","Costa de Marfil",2021-04-09,0.23
"33","Croacia",2021-04-10,14.22
"34","Chipre",2021-04-09,20.92
"35","Chequia",2021-04-11,19.51
"36","Dinamarca",2021-04-11,22.69
"37","Dominica",2021-04-01,25.16
"38","República Dominicana",2021-04-01,10.15
"39","Ecuador",2021-04-10,2.59
"40","Egipto",2021-04-04,0.15
"41","El Salvador",2021-04-11,3.08
"42","Guinea Ecuatorial",2021-04-01,1
"43","Estonia",2021-04-11,25.17
"44","Esuatini",2021-04-05,1.75
"45","Islas Feroe",2021-04-08,23.52
"46","Islas Malvinas",2021-04-07,124.09
"47","Finlandia",2021-04-11,22.01
"48","Francia",2021-04-10,21.2
"49","Gabón",2021-04-09,0.18
"50","Gambia",2021-04-09,0.69
"51","Georgia",2021-04-10,0.46
"52","Alemania",2021-04-11,21.76
"53","Ghana",2021-04-11,2.26
"54","Grecia",2021-04-10,20.81
"55","Groenlandia",2021-04-09,16.83
"56","Granada",2021-03-24,8.73
"57","Guatemala",2021-04-10,0.78
"58","Guinea",2021-04-09,0.58
"59","Guyana",2021-04-03,5.14
"60","Honduras",2021-04-09,0.58
"61","Hong Kong",2021-04-11,11.13
"62","Hungría",2021-04-11,42.62
"63","Islandia",2021-04-09,25.31
"64","India",2021-04-11,7.57
"65","Indonesia",2021-04-10,5.51
"66","Irán",2021-03-19,0.15
"67","Irak",2021-04-05,0.26
"68","Irlanda",2021-04-09,21.18
"69","Israel",2021-04-11,118.5
"70","Italia",2021-04-11,21.56
"71","Jamaica",2021-04-07,1.61
"72","Japón",2021-04-09,1.26
"73","Jordania",2021-04-07,5.14
"74","Kazajistán",2021-04-10,2.05
"75","Kenia",2021-04-08,0.78
"76","Kosovo",2021-04-04,0.13
"77","Kuwait",2021-03-29,14.16
"78","Kirguistán",2021-04-07,0.01
"79","Laos",2021-03-17,0.56
"80","Letonia",2021-04-10,9.38
"81","Líbano",2021-04-10,4.01
"82","Liechtenstein",2021-04-07,18.13
"83","Lituania",2021-04-11,24.58
"84","Luxemburgo",2021-04-08,19.48
"85","Macao",2021-04-11,10.38
"86","Malaui",2021-04-10,1.07
"87","Malasia",2021-04-09,2.91
"88","Maldivas",2021-04-10,52.49
"89","Mali",2021-04-02,0
"90","Malta",2021-04-10,54.58
"91","Mauritania",2021-04-08,0.06
"92","Mauricio",2021-02-17,0.3
"93","México",2021-04-11,8.84
"94","Moldavia",2021-04-11,1.59
"95","Mónaco",2021-04-02,52.26
"96","Mongolia",2021-04-11,18.82
"97","Montenegro",2021-04-11,6.76
"98","Montserrat",2021-03-17,26.13
"99","Marruecos",2021-04-10,23.32
"100","Mozambique",2021-03-23,0.18
"101","Myanmar",2021-03-31,1.91
"102","Namibia",2021-04-08,0.1
"103","Nepal",2021-03-19,5.49
"104","Países Bajos",2021-04-04,16.71
"105","Nueva Zelanda",2021-04-06,1.87
"106","Nigeria",2021-04-06,0.47
"107","Macedonia del Norte",2021-04-10,1.15
"108","Noruega",2021-04-08,20.87
"109","Omán",2021-04-05,3.35
"110","Pakistán",2021-04-08,NA
"111","Panamá",2021-04-11,11.56
"112","Papúa Nueva Guinea",2021-04-04,0
"113","Paraguay",2021-04-07,0.68
"114","Perú",2021-04-10,3.18
"115","Filipinas",2021-04-11,1.04
"116","Polonia",2021-04-11,20.31
"117","Portugal",2021-04-11,21.58
"118","Catar",2021-04-11,37.48
"119","Rumanía",2021-04-10,18.93
"120","Rusia",2021-04-11,9.67
"121","Ruanda",2021-03-25,2.69
"122","Santa Lucía",2021-04-10,12.67
"123","San Marino",2021-04-10,49.76
"124","Arabia Saudí",2021-04-11,18.04
"125","Senegal",2021-04-10,2.05
"126","Serbia",2021-04-10,42.37
"127","Seychelles",2021-04-06,105.72
"128","Sierra Leona",2021-04-10,0.47
"129","Singapur",2021-04-06,28.5
"130","Eslovaquia",2021-04-11,21
"131","Eslovenia",2021-04-09,20.62
"132","Islas Salomón",2021-03-31,0.29
"133","Sudáfrica",2021-04-10,0.49
"134","Corea del Sur",2021-04-11,2.38
"135","España",2021-04-09,21.88
"136","Sri Lanka",2021-04-11,4.32
"137","Sudán",2021-04-06,0.15
"138","Surinam",2021-04-09,5.56
"139","Suecia",2021-04-09,19.06
"140","Suiza",2021-04-07,19.53
"141","Siria",2021-04-08,0.01
"142","Taiwán",2021-04-10,0.1
"143","Tailandia",2021-04-10,0.8
"144","Togo",2021-04-08,1
"145","Trinidad y Tobago",2021-04-08,0.34
"146","Túnez",2021-04-10,1.28
"147","Turquía",2021-04-11,21.93
"148","Uganda",2021-04-08,0.39
"149","Ucrania",2021-04-11,0.86
"150","Emiratos Árabes Unidos",2021-04-11,91.05
"151","Reino Unido",2021-04-10,58.32
"152","Estados Unidos",2021-04-11,55.93
"153","Uruguay",2021-04-11,29.5
"154","Uzbekistán",2021-04-11,0.44
"155","Venezuela",2021-04-02,0.34
"156","Vietnam",2021-04-09,0.06
"157","Mundo",2021-04-11,10.11
"158","Zimbabue",2021-04-10,1.5
