FOLIO,EDAD,SEXO,NSE,adophomo,matrimonio,Aborto
4100346,23,2,3,1,4,3
4100352,22,1,2,3,2,1
4100353,27,1,2,5,3,5
4100358,15,1,3,5,3,3
4100362,16,2,2,5,3,1
4100365,15,1,2,5,4,
4100366,29,1,3,1,3,3
4100368,24,2,3,4,1,3
4106101,23,1,2,5,1,3
4106103,25,2,1,5,2,2
4107359,21,2,2,1,5,2
4107364,28,1,2,2,4,3
4107368,26,2,2,5,5,1
4107378,18,1,3,4,4,1
4107379,23,1,3,4,2,
4107601,25,1,3,2,4,4
4108729,15,2,2,3,2,5
4109564,29,1,2,5,3,5
4109680,16,2,2,4,2,1
4109682,25,1,2,5,3,4
4109683,24,2,1,3,1,2
4109690,19,1,3,4,4,1
4109694,23,2,2,3,1,1
4109695,15,2,1,5,2,3
4109696,19,2,2,1,4,1
4109706,28,1,1,5,1,3
4109707,24,2,2,5,1,2
4112271,26,1,2,2,4,2
4112276,29,2,3,3,5,3
4112279,17,2,,4,4,3
4112280,21,2,2,5,2,4
4114131,20,2,2,5,2,1
4114681,24,1,2,4,4,3
4114706,25,1,2,1,5,2
4114707,29,1,1,4,2,
4114708,19,1,2,1,2,5
4114709,24,2,2,5,2,4
4114710,27,1,1,4,2,4
4114711,23,1,2,,5,1
4117092,17,1,3,2,4,5
4117115,19,2,2,4,3,3
4117119,23,1,2,4,4,1
4117124,15,1,2,3,3,1
4117637,20,2,2,3,5,2
4118138,29,1,3,2,2,3
4118142,24,2,2,2,4,4
4118153,29,2,2,5,1,1
4118181,16,1,2,5,4,2
4118250,27,1,2,3,3,1
4118454,18,2,3,4,2,
4118672,26,2,2,3,5,1
4118682,29,2,2,4,5,3
4118686,28,2,3,2,4,1
4118762,16,2,3,5,4,4
4119085,21,2,3,4,2,2
4119265,16,1,2,3,2,4
4119876,20,1,2,4,2,1
4119887,16,1,2,4,3,5
4120038,16,1,2,4,2,5
4120050,19,2,3,5,1,1
4121649,26,1,2,3,5,2
4121650,23,1,2,4,4,1
4121651,15,2,2,4,4,2
4121655,18,1,3,4,4,5
4121656,24,1,2,2,4,2
4121809,24,1,2,3,3,1
4122017,21,2,3,5,1,
4123044,28,2,,2,4,2
4123204,20,2,2,4,3,5
4125539,29,1,1,2,3,4
4127424,27,1,2,2,3,3
4127473,22,2,2,4,4,4
4127791,29,1,2,4,2,1
4127795,18,1,3,3,3,1
4127898,15,1,3,3,2,5
4128605,27,2,3,2,3,1
4130821,23,1,2,2,4,5
4131084,29,2,3,,4,1
4132532,17,2,1,4,4,1
4132533,29,1,2,5,1,4
4132857,25,2,2,5,1,1
4133368,24,2,2,3,3,5
4134113,26,2,2,2,4,1
4134115,22,2,3,1,4,2
4134345,29,2,2,2,2,2
4134397,27,2,,2,4,2
4134400,16,1,,5,2,5
4134403,17,2,3,5,2,4
4134657,15,1,3,4,3,4
4134659,23,2,3,2,2,3
4134665,16,1,2,4,3,4
4134826,25,1,2,4,3,5
4135408,29,2,3,4,2,4
4135417,27,2,3,2,4,5
4135422,17,2,2,4,3,1
4137078,20,2,2,5,2,4
4137105,22,2,2,4,4,1
4137246,21,2,3,4,4,1
4137282,20,2,3,4,5,3
4137286,28,2,2,2,2,2
4137287,25,2,2,5,1,2
4137292,18,1,3,4,4,2
4137301,19,1,2,3,3,4
4137483,20,2,2,2,4,2
4137708,17,2,2,5,3,2
4137711,25,2,2,4,5,1
4137717,26,2,2,4,4,2
4137720,29,2,2,5,5,2
4137727,22,2,2,3,3,4
4137729,24,2,2,5,5,1
4137730,20,1,2,5,5,5
4137732,20,1,2,5,1,2
4137734,15,2,2,5,2,3
4137736,20,1,2,5,3,3
4137737,16,1,2,5,3,1
4137739,18,2,2,3,1,1
4137740,22,2,2,5,1,1
4137742,18,1,1,5,3,1
4137746,24,2,2,5,1,4
4137750,25,2,,5,1,3
4137754,15,1,3,5,5,3
4137756,15,1,2,5,5,5
4137764,23,2,3,5,5,1
4137765,29,2,2,4,3,4
4137766,29,1,2,2,5,5
4137767,18,1,3,4,3,3
4137768,19,1,2,5,1,3
4137969,17,1,1,5,1,4
4138395,15,1,1,4,1,2
4138712,24,1,,,1,1
4138713,22,2,2,5,5,1
4138924,23,2,2,5,1,3
4139184,20,1,2,3,5,4
4139185,19,1,2,4,4,4
4139191,24,2,2,3,4,1
4139238,18,1,3,5,3,2
4139239,16,2,2,5,4,5
4139441,22,2,3,5,2,2
4139448,29,2,2,5,3,5
4139460,28,1,3,1,5,3
4139470,24,1,2,4,4,5
4141361,28,2,3,3,2,3
4141894,16,2,3,4,1,2
4141916,22,1,3,4,3,2
4141919,22,2,1,5,5,5
4142527,20,2,3,4,3,2
4142533,25,2,3,5,1,1
4142534,16,1,3,4,2,2
4142699,16,1,3,4,3,1
4142700,15,2,3,4,,2
4142702,17,1,3,,5,4
4142707,24,1,3,4,4,1
4143048,20,1,3,3,3,1
4143868,23,2,2,2,2,4
4143873,21,1,3,2,2,2
4143876,29,2,3,2,3,3
4144047,23,2,2,5,3,2
4144049,21,2,2,5,3,3
4144593,27,2,3,2,2,1
4145317,22,1,2,5,2,2
4146098,20,2,2,5,3,2
4146106,23,1,3,4,2,5
4146108,23,1,3,4,,5
4146111,23,2,3,3,,3
4146241,22,1,2,3,5,2
4147548,16,2,2,5,3,5
4147549,29,2,1,5,1,4
4147901,15,1,3,2,2,1
4147965,28,1,2,2,1,1
4147970,26,2,3,2,5,4
4147971,25,1,2,4,,3
4147974,27,1,3,4,3,1
4147976,25,1,,3,3,1
4148203,28,1,2,4,4,1
4148204,29,2,3,1,5,2
4148205,28,1,2,3,3,1
4148206,27,1,2,4,4,1
4148207,16,1,2,5,3,2
4148208,26,1,2,4,4,2
4148209,23,2,2,4,4,1
4148210,25,2,1,5,3,1
4148211,21,1,2,3,4,2
4148510,25,2,2,2,2,2
4149011,24,1,2,3,2,2
4149013,21,2,3,1,5,2
4149014,18,1,1,5,3,3
4149016,22,1,3,5,1,3
4149019,29,1,3,5,5,3
4149021,21,2,2,5,5,1
4149023,24,2,3,4,4,1
4149025,17,2,3,5,4,3
4149026,29,1,2,1,3,4
4149034,29,2,3,1,3,4
4149035,23,2,3,3,3,1
4149036,19,1,2,1,5,2
4149038,20,2,2,4,4,2
4150123,17,1,3,3,2,1
4150124,15,1,3,5,3,2
4150126,15,2,2,5,2,5
4150179,23,2,2,4,4,3
4150274,15,1,3,5,5,3
4150277,19,1,3,2,3,2
4150278,18,2,3,4,4,1
4150285,19,2,3,3,4,4
