"","Región","Porcentaje inmunizados 18-29","Porcentaje inmunizados 30-39","Porcentaje inmunizados 40-49","Porcentaje inmunizados 50-59","Porcentaje inmunizados 60-69","Porcentaje inmunizados 70+","Vacunas totales 18-29","Vacunas totales 30-39","Vacunas totale 40-49","Vacunas totales 50-59","Vacunas totales 60-69","Vacunas totales 70+","Total inmunizados","Población 18-29","Población 30-39","Población 40-49","Población 50-59","Población 60-69","Población 70+"
"1","Arica y Parinacota",9.3,19,20.9,27,69,75.2,4494,7523,6957,7739,15410,14910,57033,48443,39659,33320,28678,22324,19819
"2","Tarapacá",10,18.1,21.1,31.6,70,78.2,7823,12223,10950,12500,20280,15700,79476,78521,67579,51891,39545,28979,20082
"3","Antofagasta",9.9,15.7,18.2,33,74.2,83.9,14319,19294,18262,24652,39107,28374,144008,144850,122506,100384,74733,52734,33830
"4","Atacama",10,16.8,19.6,29.8,72,79,5385,8387,7975,11344,21006,17592,71689,53991,49883,40661,38030,29164,22280
"5","Coquimbo",8.6,17.4,19.6,30.9,77,79.5,12595,21700,22013,32066,62014,59908,210296,146752,124692,112474,103807,80587,75343
"6","Valparaíso",10.2,20.3,24.2,37,78.5,84.2,36000,58068,60901,90408,163791,170267,579435,352467,285975,251715,244198,208560,202307
"7","Metropolitana",8.8,15.8,20.3,34.5,74.1,83.2,139765,226644,227841,329080,542270,508299,1973899,1583322,1431072,1120415,952800,731458,610973
"8","O’Higgins",11,18.9,21.9,36,80,85.4,16836,28067,30846,47637,83127,77395,283908,152383,148143,140710,132309,103913,90609
"9","Maule",11,20,21.4,34.6,77.6,83.1,20415,32374,33194,51729,93063,87810,318585,185619,162042,155338,149476,119925,105651
"10","Ñuble",13.9,24.5,27,41.8,83.2,84.5,11106,16899,18401,29963,47093,45850,169312,79976,69080,68106,71635,56607,54274
"11","Biobío",12,23.7,24.9,38,79,84.1,35339,56124,55806,83694,132522,123473,486958,294508,237287,224262,220205,167831,146903
"12","Araucanía",12.9,22.9,24.2,36.6,75.4,80.7,22222,32617,32848,47177,76342,78222,289428,171947,142561,135880,128856,101225,96974
"13","Los Ríos",13.4,25.1,26.7,36.2,75.6,81.3,9504,14375,13950,19979,31472,31316,120596,71017,57289,52216,55171,41614,38498
"14","Los Lagos",13.4,22.4,23,34.1,75,82.5,19637,30268,29968,40307,63384,61508,245072,146249,134961,130224,118298,84558,74524
"15","Aysén",20.8,30.3,30.6,36.4,73.1,76.5,3259,5525,4876,4758,7108,5768,31294,15680,18223,15911,13073,9728,7535
"16","Magallanes",19.8,32.9,38.3,47.8,78.8,84.3,6179,9760,9551,10414,14720,12444,63068,31222,29631,24946,21800,18672,14762
"17","Ignorada",NA,NA,NA,NA,NA,NA,4,6,7,9,10,8,44,NA,NA,NA,NA,NA,NA
"18","Total",10.3,18.6,22,35.3,76,82.9,364882,579854,584346,843456,1412719,1338844,5124101,3556947,3120583,2658453,2392614,1857879,1614364
