"","País","Vacunas administradas","Inmunizados","Porcentaje población inmunizada","Población total"
"1","Afganistán",240000,NA,NA,38928341
"2","Albania",596766,NA,NA,2877800
"3","Argelia",75000,NA,NA,43851043
"4","Andorra",28881,4699,6,77265
"5","Angola",456349,NA,NA,32866268
"6","Anguila",6898,783,5,15002
"7","Argentina",9237005,1446219,3,45195777
"8","Armenia",565,NA,NA,2963234
"9","Aruba",82877,26589,25,106766
"10","Australia",2736107,NA,NA,25499881
"11","Austria",3744269,1001839,11,9006400
"12","Azerbaiyán",1705906,696419,7,10139175
"13","Bahamas",36000,NA,NA,393248
"14","Baréin",1416118,602390,35,1701583
"15","Bangladés",9316086,3496186,2,164689383
"16","Barbados",75537,NA,NA,287371
"17","Bielorrusia",328500,84500,1,9449321
"18","Bélgica",4794768,1116292,10,11589616
"19","Belice",47675,NA,NA,397621
"20","Bután",481768,NA,NA,771612
"21","Bolivia",1010981,269323,2,11673029
"22","Botsuana",53375,NA,NA,2351625
"23","Brasil",48193472,15545747,7,212559409
"24","Brunéi",15905,862,NA,NA
"25","Bulgaria",999287,338083,5,6948445
"26","Camboya",3001566,1123726,7,16718971
"27","Camerún",11000,NA,NA,26545864
"28","Canadá",16557932,1285391,3,37742157
"29","Cabo Verde",2184,NA,NA,NA
"30","Chile",15872110,7211470,38,19116209
"31","China",342697000,NA,NA,1439323774
"32","Colombia",6478808,2440975,5,50882884
"33","Comoras",13440,NA,NA,869595
"34","Costa Rica",1093931,436630,9,5094114
"35","Costa de Marfil",280799,NA,NA,26378275
"36","Croacia",1186581,267442,7,4105268
"37","Chipre",384639,91459,8,1207361
"38","Chequia",3815092,1076659,10,10708982
"39","Dinamarca",2434266,902930,16,5792203
"40","Yibuti",10246,NA,NA,988002
"41","Dominica",32008,13144,18,71991
"42","República Dominicana",2483629,812583,7,10847904
"43","Ecuador",1289962,265841,2,17643060
"44","Egipto",1300212,235852,0,102334403
"45","El Salvador",1114544,155716,2,6486201
"46","Guinea Ecuatorial",75518,10872,1,1402985
"47","Estonia",543067,163779,12,1326539
"48","Esuatini",34897,NA,NA,1160164
"49","Etiopía",1215934,NA,NA,114963583
"50","Islas Feroe",25427,7007,14,48865
"51","Islas Malvinas",4407,1775,51,3483
"52","Fiyi",93000,NA,NA,896444
"53","Finlandia",2253383,238730,4,5540718
"54","Francia",26143585,8116853,12,65273512
"55","Polinesia Francesa",81202,31495,11,280904
"56","Gabón",10678,2643,0,2225728
"57","Gambia",24659,NA,NA,2416664
"58","Georgia",67136,NA,NA,3989175
"59","Alemania",35709755,8022890,10,83783945
"60","Ghana",852047,NA,NA,31072945
"61","Grecia",3868356,1306498,13,10423056
"62","Groenlandia",14914,5482,10,56772
"63","Granada",17000,4000,4,112519
"64","Guatemala",217348,2518,0,17915567
"65","Guinea",173623,57187,0,13132792
"66","Honduras",57639,2639,0,9904608
"67","Hong Kong",1805045,704601,9,7496988
"68","Hungría",6990835,2599041,27,9660350
"69","Islandia",188146,55780,16,341250
"70","India",173862643,37305298,3,1380004385
"71","Indonesia",22536306,8888529,3,273523621
"72","Irán",1767570,292134,0,83992953
"73","Irak",298377,NA,NA,40222503
"74","Irlanda",1882635,506052,10,4937796
"75","Israel",10514939,5087637,59,8655541
"76","Italia",24950456,7725554,13,60461828
"77","Jamaica",135473,NA,NA,2961161
"78","Japón",4994028,1319881,1,126476458
"79","Jordania",1091048,286028,3,10203140
"80","Kazajistán",2397604,670593,4,18776707
"81","Kenia",853081,NA,NA,53771300
"82","Kosovo",22096,NA,NA,NA
"83","Kuwait",1440000,NA,NA,4270563
"84","Kirguistán",27858,858,0,6524191
"85","Laos",488473,83273,1,7275556
"86","Letonia",422492,88501,5,1886202
"87","Líbano",509705,184322,3,6825442
"88","Lesoto",16000,NA,NA,2142252
"89","Libia",750,NA,NA,6871287
"90","Liechtenstein",14369,4437,12,38137
"91","Lituania",1207521,400618,15,2722291
"92","Luxemburgo",248492,69058,11,625976
"93","Macao",122288,42929,7,649342
"94","Malaui",319323,NA,NA,19129955
"95","Malasia",1876591,720105,2,32365998
"96","Maldivas",437912,136205,25,540542
"97","Mali",49903,NA,NA,20250834
"98","Malta",392929,127255,29,441539
"99","Mauritania",7038,NA,NA,4649660
"100","Mauricio",117323,NA,NA,1271767
"101","México",21300414,9486795,7,128932753
"102","Moldavia",192845,25369,1,4033963
"103","Mónaco",25937,12003,31,39244
"104","Mongolia",2309864,631666,19,3278292
"105","Montenegro",120795,31830,5,628062
"106","Montserrat",1909,616,12,4999
"107","Marruecos",10317649,4414056,12,36910558
"108","Mozambique",57305,NA,NA,31255435
"109","Myanmar",1040000,40000,0,54409794
"110","Namibia",36417,2071,0,2540916
"111","Nauru",3000,NA,NA,10834
"112","Nepal",2453512,362001,1,29136808
"113","Países Bajos",6588757,1612506,9,17134873
"114","Nueva Caledonia",75580,31639,11,285491
"115","Nueva Zelanda",388877,120090,2,4822233
"116","Nicaragua",135130,NA,NA,6624554
"117","Níger",1366,NA,NA,24206636
"118","Nigeria",1713306,NA,NA,206139587
"119","Macedonia del Norte",160425,24851,1,2083380
"120","Noruega",2021310,515353,10,5421242
"121","Omán",326269,73269,1,5106622
"122","Pakistán",3705244,952518,0,220892331
"123","Panamá",778174,258803,6,4314768
"124","Papúa Nueva Guinea",3000,NA,NA,8947027
"125","Paraguay",175127,15705,0,7132530
"126","Perú",2143446,712205,2,32971846
"127","Filipinas",2542066,517113,0,109581085
"128","Polonia",14274291,3839390,10,37846605
"129","Portugal",4121938,1132378,11,10196707
"130","Catar",1876178,738335,26,2881060
"131","Rumanía",6201096,2498443,13,19237682
"132","Rusia",21844382,8638684,6,145934460
"133","Ruanda",350400,NA,NA,12952209
"134","Santa Lucía",25345,NA,NA,183629
"135","Samoa",11950,NA,NA,198410
"136","San Marino",35096,13502,40,33938
"137","Arabia Saudí",10919497,NA,NA,34813867
"138","Senegal",428147,NA,NA,16743930
"139","Serbia",3826563,1657223,19,8737370
"140","Seychelles",128919,60407,61,98340
"141","Sierra Leona",64966,6716,0,7976985
"142","Singapur",3137330,1284646,22,5850343
"143","Eslovaquia",1896949,607810,11,5459643
"144","Eslovenia",745008,255926,12,2078932
"145","Islas Salomón",9340,NA,NA,686878
"146","Somalia",117567,NA,NA,15893219
"147","Sudáfrica",414372,414372,1,59308690
"148","Corea del Sur",4363470,664813,1,51269183
"149","Sudán del Sur",947,NA,NA,11193729
"150","España",20162661,6327447,14,46754783
"151","Sri Lanka",1162770,213953,1,21413250
"152","Sudán",140227,NA,NA,43849269
"153","Surinam",48185,732,0,586634
"154","Suecia",3909862,883761,9,10099270
"155","Suiza",3228403,1073144,12,8654618
"156","Siria",2500,NA,NA,NA
"157","Taiwán",112543,NA,NA,23816775
"158","Tailandia",1935565,563552,1,69799978
"159","Togo",160000,NA,NA,8278737
"160","Tonga",16683,NA,NA,105697
"161","Trinidad y Tobago",61666,1179,0,1399491
"162","Túnez",537380,165140,1,11818618
"163","Turquía",25178674,10518123,12,84339067
"164","Tuvalu",2400,NA,NA,11792
"165","Uganda",404972,NA,NA,45741000
"166","Ucrania",884547,1928,0,43733759
"167","Emiratos Árabes Unidos",11273344,NA,NA,9890400
"168","Reino Unido",53675733,18088385,27,67886004
"169","Estados Unidos",263132561,116576359,35,331002647
"170","Uruguay",2095268,851917,25,3473727
"171","Uzbekistán",1173978,116884,0,33469199
"172","Venezuela",250000,NA,NA,28435943
"173","Mundo",1345084557,327671130,NA,NA
"174","Zambia",81459,NA,NA,18383956
"175","Zimbabue",709772,170246,1,14862927
