"","Región","Dosis totales","Primera dosis","Personas inmunizadas","Porcentaje de población total","Porcentaje población objetivo","Población objetivo","Promedio vacunas nuevas (7 días)","Población","Días para inmunidad de rebaño (70%)","Contagios","Fallecidos"
"1","Arica y Parinacota",175722,97824,77898,31,41,192243,1241.7,255380,188,21048,411
"2","Tarapacá",270695,153796,116899,30,41,286597,2358.6,391165,151,34953,637
"3","Antofagasta",500812,277113,223699,32,42,529037,4936.1,703746,127,50246,987
"4","Atacama",239212,134233,104979,33,43,243009,1861.7,316737,144,19223,208
"5","Coquimbo",670475,369449,301026,35,47,643655,5393.4,848079,127,33789,644
"6","Valparaíso",1815056,986628,828428,42,54,1545222,12676.7,1979373,107,89660,2385
"7","Metropolitana",6313637,3457494,2856143,35,44,6430040,51453.4,8242459,134,520517,14607
"8","O’Higgins",877965,478949,399016,40,52,768067,6720.3,1000959,108,50838,1092
"9","Maule",988516,536929,451587,40,51,878051,7796.4,1143012,108,75792,1264
"10","Ñuble",501108,267020,234088,45,59,399678,3342.1,514508,96,27375,469
"11","Biobío",1462460,789131,673329,40,52,1290996,9878.4,1670590,123,120057,1939
"12","Araucanía",870813,473882,396931,39,51,777443,6012.4,1019548,126,75453,942
"13","Los Ríos",356421,192365,164056,40,52,315805,2275.1,407818,130,35316,396
"14","Los Lagos",748310,404982,343328,38,50,688814,5126.4,897303,134,71194,967
"15","Aysén",88659,48534,40125,37,50,80150,522.3,107737,160,4666,31
"16","Magallanes",184366,99524,84842,47,60,141033,1171.3,179949,88,26365,377
"17","Total",16064227,8767853,7296374,37,48,15200840,122766.6,19678363,126,1256546,27356
