"","Región","Inmunizados 18-29","Inmunizados 30-39","Inmunizados 40-49","Inmunizados 50-59","Inmunizados 60-69","Inmunizados 70+","Vacunas totales 18-29","Vacunas totales 30-39","Vacunas totales 40-49","Vacunas totales 50-59","Vacunas totales 60-69","Vacunas totales 70+","Total inmunizados","Población 18-29","Población 30-39","Población 40-49","Población 50-59","Población 60-69","Población 70+"
"1","Arica y Parinacota",12,22,24,31,71,76,5788,8824,8125,8961,15836,15119,62653,48443,39659,33320,28678,22324,19819
"2","Tarapacá",13,21,26,37,72,79,10086,14204,13233,14700,20934,15875,89032,78521,67579,51891,39545,28979,20082
"3","Antofagasta",14,20,23,39,76,85,19792,24599,23431,29017,40139,28687,165665,144850,122506,100384,74733,52734,33830
"4","Atacama",13,20,24,36,74,81,7080,10136,9907,13712,21700,17947,80482,53991,49883,40661,38030,29164,22280
"5","Coquimbo",12,21,24,36,80,81,17762,25754,26717,37298,64151,60818,232500,146752,124692,112474,103807,80587,75343
"6","Valparaíso",15,25,30,43,81,85,53058,71248,74411,103838,168838,172339,643732,352467,285975,251715,244198,208560,202307
"7","Metropolitana",13,20,25,40,76,84,204193,283637,284054,378172,557686,513223,2220965,1583322,1431072,1120415,952800,731458,610973
"8","O’Higgins",16,23,27,41,82,86,23782,34160,37589,54383,85525,78185,313624,152383,148143,140710,132309,103913,90609
"9","Maule",15,24,27,41,80,84,27838,39480,41585,60804,95908,88924,354539,185619,162042,155338,149476,119925,105651
"10","Ñuble",18,29,33,48,85,85,14708,19937,22242,34609,48352,46391,186239,79976,69080,68106,71635,56607,54274
"11","Biobío",17,28,30,43,81,85,49726,66523,67402,95399,136296,124809,540155,294508,237287,224262,220205,167831,146903
"12","Araucanía",17,27,29,42,78,82,28958,38226,39320,54359,78986,79536,319385,171947,142561,135880,128856,101225,96974
"13","Los Ríos",17,29,31,42,79,83,12134,16476,16318,22930,32760,31909,132527,71017,57289,52216,55171,41614,38498
"14","Los Lagos",17,26,27,40,77,84,24833,35048,35755,46891,65364,62243,270134,146249,134961,130224,118298,84558,74524
"15","Aysén",25,33,34,41,75,78,3843,6053,5452,5344,7297,5854,33843,15680,18223,15911,13073,9728,7535
"16","Magallanes",25,38,44,53,81,85,7669,11119,10927,11621,15108,12559,69003,31222,29631,24946,21800,18672,14762
"17","Ignorada",NA,NA,NA,NA,NA,NA,8,8,9,9,9,7,50,NA,NA,NA,NA,NA,NA
"18","Total",14,23,27,41,78,84,511258,705432,716477,972047,1454889,1354425,5714528,3556947,3120583,2658453,2392614,1857879,1614364
